label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09
1	1900 N	0.7352	Andrew	bird	1.6459	1381	-0.3737	1270	0.7302	922
3	-829 N	0.2338	Inan	dog	0.6556	293	-1.2853	-294	0.1669	-1363
0	-595 N	-0.0023	Fabrice	guinea pig	0.7548	1139	-1.1194	1073	0.0865	-111
2	495 N	0.4194	Michael	hamster	0.9845	1176	1.0563	213	0.7665	523
4	1577 N	0.3503	Eriq	fish	0.3723	508	2.706	1929	0.5193	288
4	186 N	0.5888	Lise	cat	-0.0873	493	1.4548	446	0.51	862
2	1971 N	0.2738	Michael	hamster	0.0457	942	-0.685	-425	0.4527	645
5	-901 N	0.46	Reilly	RABBIT	0.2975	1911	1.5688	958	0.1457	41
4	1399 N	0.2686	Tony	chicken, rat, cat	1.1168	-1290	1.8215	267	0.8376	-40
3	767 N	0.0107	Inan	guinea pig	-0.1665	376	-0.5951	-495	0.3876	701
3	1180 N	0.2709	Inan	dog	0.097	2157	0.5901	755	0.0577	-23
1	-1301 N	1.4111	Andrew	bird	0.3983	1729	-0.5455	857	0.1802	-1178
5	-26 N	-0.3769	Michael	rabbit	1.0844	1683	1.2922	362	?	1624
4	766 N	1.2977	Lise	rat	0.9629	374	1.5529	559	0.5717	435
1	-942 N	0.553	Andrew	ferret	1.0182	-55	1.1742	1417	2.3372	476
3	-904 N	-0.0049	Inan	dog	2.0005	537	-0.7195	875	2.0346	-449
4	658 N	-0.5577	Tony	rat	0.7576	418	0.7784	226	1.4147	1750
3	-205 N	0.7716	Inan	dog	-0.5584	939	1.2952	1050	0.2728	-170
5	537 N	0.5741	Reilly	pig	0.2732	2129	1.2127	304	2.1885	-1242
3	353 N	0.5452	Inan	dog	0.6912	461	0.6823	1259	0.6495	640
4	710 N	0.3027	Lise	fish, cat	1.3483	-127	-0.4854	-224	-0.6987	-892
0	813 N	-0.2456	Vani	guinea pig	0.3879	1127	2.2591	910	1.0037	430
2	1393 N	-0.71	Michael	hamster	0.8083	-20	1.0009	505	-0.0206	524
3	-244 N	0.2505	Inan	dog	-0.2924	467	-0.1691	1443	-0.1627	1997
3	412 N	-0.1542	Inan	reptile	0.7777	1517	1.7827	1015	0.8416	854
3	-913 N	1.1103	Inan	dog	0.691	319	0.9905	1667	0.6016	130
5	-790 N	-0.0136	Reilly	rabbit	-0.8303	1397	0.8138	1335	3.4209	1028
4	397 N	0.4327	Eriq	fish	1.5015	1594	-0.546	1555	-0.0854	-410
3	-514 N	0.6623	Inan	dog	1.2361	1073	-0.1238	-41	-0.0137	263
2	382 N	0.2321	Michael	hamster	0.8341	625	1.4304	-150	0.3106	1066
3	-720 N	-0.14	Tony	dog	0.9066	1045	-0.4273	511	0.6146	564
4	826 N	0.8978	Lise	fish, chicken	0.6151	-334	0.2878	-877	0.6188	-396
5	702 N	-0.0587	Reilly	rabbit	1.0506	756	-0.1726	459	0.444	-697
5	-48 N	2.218	Reilly	pig	-0.1174	551	2.0926	946	1.5176	-1209
2	1377 N	-0.4241	Sam	hamster	0.5968	343	1.2344	-33	0.9744	101
0	145 N	1.9247	Chris	guinea pig	-0.6119	1044	2.2884	1565	1.2094	264
1	138 N	0.283	Andrew	ferret	0.3853	1254	-0.1569	743	1.0634	-163
3	-803 N	-0.3986	inan	reptile	1.7683	1175	-0.0356	871	0.7811	1152
5	1797 N	0.8621	Reilly	rabbit	-1.1048	263	1.5166	339	1.4138	12
0	653 N	0.5559	Vani	guinea pig	0.8413	892	1.0549	1798	-1.281	658
4	1598 N	-0.6438	Eriq	cat, fish, rat	0.5298	1084	0.306	642	0.8652	1048
5	-1800 N	-0.2983	Reilly	rabbit	0.4637	614	1.8488	1939	2.1309	?
0	976 N	0.3853	Fabrice	Guinea Pig	-0.646	-74	0.5001	787	1.442	1328
4	915 N	0.4267	Eriq	chicken, cat	2.1258	935	1.1037	936	1.5539	-392
1	-525 N	1.284	Andrew	ferret	1.2076	760	0.7303	1119	0.0733	-967
2	1494 N	0.2057	Michael	bird	1.1128	1941	N/A	-288	1.5492	-243
0	446 N	1.3099	Chris	guinea pig	1.4265	41	-0.528	-222	-0.4227	-370
3	1423 N	0.4002	Inan	dog	0.9282	615	0.6573	1270	0.0932	-315
2	6 N	1.5015	Michael	hamster	0.0863	1186	-1.3913	269	-0.1912	-151
3	6 N	0.1026	iNAN	dog	0.749	1200	0.7933	1112	0.8249	-70
4	573 N	1.1651	Lise	rat, chicken, cat	0.6028	-857	1.4698	116	0.541	901
4	493 N	1.1019	Lise	fish	0.7185	-943	-0.7357	-133	0.7736	1746
0	1168 N	0.5272	Reilly	guinea pig	0.255	1001	1.3638	626	1.3244	23
2	99 N	0.4992	Sam	rabbit	0.3983	1515	0.2855	-268	0.6709	160
3	754 N	0.1105	Inan	reptile	1.8877	1256	-0.0955	1925	-0.2485	1233
4	1351 N	1.0147	Tony	guinea pig	-1.2398	-109	0.9697	984	0.7963	1185
3	374 N	0.892	Inan	reptile	2.4088	-572	0.995	129	1.2703	800
4	1471 N	1.7865	Lise	rat	0.7111	66	1.0338	-197	1.4218	1180
3	-1052 N	0.8622	Inan	reptile	0.9019	1234	-0.0533	1576	-0.0978	1701
2	878 N	-0.6569	Sam	hamster	1.3858	1952	0.8643	-22	0.9362	126
3	-465 N	-0.0852	Inan	reptile	1.1142	827	-0.3061	731	-0.0106	-19
0	1885 N	1.7012	Chris	guinea pig	0.0595	666	1.537	177	-0.2551	1070
5	-1215 N	-0.051	Reilly	rabbit	1.6308	1826	0.9851	-38	2.1634	715
1	1337 N	0.8574	Andrew	ferret	0.7589	1124	0.5615	-131	0.7814	-121
3	-422 N	1.4455	Inan	reptile	1.0149	905	-0.2133	1004	-0.8646	-284
0	-8 N	0.7491	Chris	guinea pig	0.0963	1118	1.6623	2211	0.2098	2602
0	1148 N	0.8796	Vani	guinea pig	-0.851	1106	-0.817	782	-0.2086	-771
5	457 N	-0.0454	Reilly	pig	1.6873	428	0.5812	923	2.0018	-1192
3	-161 N	0.1841	Inan	dog	1.7525	-1515	-0.1844	405	-0.4726	0
1	947 N	1.0402	Andrew	ferret	0.8531	37	0.8797	1604	1.6366	287
0	636 N	1.68	Vani	guinea pig	-0.2205	399	0.2113	526	0.1989	748
2	555 N	1.1828	Michael	hamster	-1.7491	344	-0.8884	307	-1.4428	63
0	554 N	1.7654	Chris	guinea pig	0.4486	460	-0.4564	1114	-0.2982	1417
0	2428 N	0.0094	Fabrice	guinea pig	0.5602	1064	0.7049	-7	0.5614	-153
3	-1195 N	1.5558	Inan	dog	-1.1015	604	0.6657	1087	-0.5994	-107
4	382 N	0.7141	Inan	fish, rat, cat	0.1814	-991	0.7714	-1658	1.8341	-328
5	-1222 N	-0.076	Reilly	rabbit	1.0098	131	1.0203	1555	0.8807	1070
2	638 N	0.7973	Michael	hamster	0.3091	1922	0.1864	702	0.4066	-420
2	811 N	1.351	Sam	hamster	-0.0065	460	1.5099	142	0.0963	1168
4	1575 N	0.0089	Tony	rat, chicken	0.4479	657	0.1707	61	0.6042	118
4	1787 N	0.438	Tony	CAT, CHICKEN, FISH	0.2701	-1040	0.7042	-558	0.9564	-75
3	782 N	1.2168	Inan	reptile	0.6215	1080	?	1140	0.2187	595
0	989 N	1.4793	Chris	guinea pig	N/A	1455	-0.0328	-229	1.0639	387
1	-217 N	-0.0676	Andrew	bird	1.1494	434	-0.6176	870	1.2844	184
0	859 N	0.1458	Fabrice	GUINEA PIG	0.9887	1067	-1.3761	1982	0.0701	-320
4	-800 N	0.0186	Tony	fish	1.8557	-661	0.7977	-667	1.5639	636
0	1591 N	-0.0607	Chris	guinea pig	-0.5508	1463	0.7716	833	0.6371	-248
3	-556 N	0.5192	Inan	reptile	0.1518	730	-0.7303	893	0.1043	410
1	-206 N	0.7216	Andrew	dog	0.3507	1305	1.8223	1667	1.9788	476
0	150 N	-0.4474	Fabrice	guinea pig	1.7097	-470	0.4817	973	-1.1653	-80
2	1947 N	1.6002	Michael	hamster	0.4634	-185	0.3299	-737	-1.2694	1418
5	424 N	-1.1714	Reilly	reptile	-0.0954	181	1.5742	577	0.6633	363
1	577 N	1.5066	Andrew	ferret	0.5854	310	-0.5095	935	1.2956	308
1	195 N	0.919	Andrew	ferret	0.3723	1213	-0.003	203	0.0316	528
1	-410 N	0.2368	Andrew	ferret	0.5429	240	0.1453	1130	-1.0397	-259
4	906 N	0.1851	Eriq	cat, rat	1.7105	-864	1.2127	624	-0.0602	1076
4	2026 N	0.7055	Eriq	bird	-0.2693	-249	-0.7147	-543	0.4444	-965
3	-327 N	0.34	Inan	dog	-0.0891	168	-0.2586	656	-0.87	-63
0	-56 N	0.6366	Vani	guinea pig	-1.2094	1641	1.2464	603	1.99	524
3	-260 N	-0.5318	Inan	reptile	1.393	1216	1.975	967	0.1884	-1099
2	155 N	0.7869	Michael	hamster	1.0894	1598	1.3179	-684	0.7536	-221
0	468 N	-0.2057	Fabrice	guinea pig	1.1589	399	-0.456	360	-1.3332	-764
2	1898 N	0.1867	mICHAEL	hamster	1.3993	2795	0.3313	-353	0.5384	-352
3	-600 N	-0.6256	Inan	dog	-1.1663	-177	1.2421	418	1.7579	-366
4	-298 N	0.4358	Lise	fish, cat, chicken	0.4485	-245	-0.0728	563	1.7256	725
3	294 N	0.5932	Inan	reptile	0.0669	360	-0.1485	1394	-0.1189	N/A
1	-228 N	0.1239	Andrew	ferret	1.2906	1005	-0.9319	871	0.3631	-620
3	-818 N	-0.0991	Inan	rabbit	1.2478	-1182	1.0515	115	0.1678	-821
0	-306 N	1.3422	Fabrice	guinea pig	0.6393	1362	1.8637	2123	-0.0424	253
0	1471 N	0.4679	Chris	guinea pig	0.8623	1428	0.6452	2088	0.995	-2269
1	314 N	1.4388	Andrew	bird	-1.4827	1516	0.7838	-146	0.6468	245
3	-510 N	0.3236	Inan	ferret	0.8204	1108	0.449	-558	-0.3006	-458
4	1129 N	1.0001	Eriq	reptile	0.2707	21	1.247	562	0.1085	-1503
4	864 N	1.314	Lise	chicken, rat	2.2591	916	1.2609	705	-0.3523	-1783
0	438 N	0.8621	CHRIS	guinea pig	0.3785	2272	-0.4934	1360	-0.382	-112
4	1506 N	-0.2669	Tony	rat	0.7894	421	1.0895	-369	1.5498	143
1	-681 N	1.2593	Andrew	ferret	0.9067	2200	-1.1876	1013	0.5899	1596
2	1301 N	0.673	Michael	hamster	0.0757	593	-0.9469	74	0.8968	-468
5	-801 N	0.1846	Reilly	rabbit	-0.1706	2164	1.3783	520	3.0506	-1694
0	791 N	1.0046	Vani	guinea pig	0.4912	1188	0.2053	280	-0.3557	-696
4	1030 N	2.9351	Tony	rat	1.4466	-146	0.2925	-611	0.4271	3421
4	1468 N	-0.7755	tony	fish, rat, cat	0.0908	321	1.1003	-181	0.9389	206
3	494 N	0.3051	Inan	reptile	-0.2425	404	-0.1349	-724	0.0807	-371
1	-284 N	0.1927	Andrew	bird	0.1196	1742	-0.8264	2072	0.2333	478
5	763 N	-0.2978	Reilly	pig	0.0041	1396	-0.1778	1976	0.6787	-2324
5	-523 N	-0.0184	Reilly	hamster	0.9822	1424	-0.3677	634	0.8418	-1042
3	-909 N	0.2814	Inan	reptile	0.776	1957	-0.1932	1627	0.2119	828
4	-42 N	-0.0853	Tony	chicken, cat	0.4472	644	0.8914	-193	0.4225	2114
4	841 N	-0.1581	Eriq	cat, fish, chicken	0.0705	-440	0.4311	928	?	-943
4	1206 N	0.992	Eriq	rat, cat	0.8735	-956	-0.7629	150	0.1804	-241
4	818 N	0.7836	eRIQ	ferret	0.8963	603	2.0059	166	1.8596	1845
1	-636 N	0.8795	Andrew	bird	1.0637	1434	1.4217	1542	-0.4389	922
0	97 N	0.6975	Fabrice	guinea pig	N/A	-66	-0.3764	1069	-0.1712	-485
3	1219 N	-0.6281	Inan	reptile	1.5309	1308	0.1989	867	-0.1463	-153
3	-31 N	-0.5178	Inan	reptile	-0.9716	2443	-0.5654	585	0.4026	-46
3	-654 N	-0.1882	Inan	dog	0.6153	154	0.8477	727	0.8134	-76
0	1348 N	1.0295	Vani	guinea pig	-0.3015	1302	-0.9609	-341	0.2992	-630
2	1286 N	0.3402	Sam	hamster	0.4053	170	-0.1162	774	-0.8868	-87
3	952 N	0.8781	Inan	reptile	1.1946	1509	-0.1069	1334	-0.409	-28
0	986 N	0.0754	Fabrice	guinea pig	0.8734	2743	-0.3199	1252	1.2954	-1747
0	411 N	0.2448	Fabrice	guinea pig	0.3132	791	-0.0989	2093	0.7866	-1170
1	-15 N	0.9748	Andrew	bird	0.4484	1113	0.1675	1672	1.7553	-1167
4	1780 N	0.9117	NULL	CAT, CHICKEN	1.3574	1267	0.1776	344	1.7013	1091
1	67 N	1.1681	Andrew	ferret	0.5576	1675	-0.717	552	0.6384	1266
2	1122 N	-0.0455	Michael	hamster	3.0716	-545	-0.5076	-530	-0.5051	1236
4	521 N	1.2278	Eriq	rat, chicken, cat	-0.6918	-74	0.353	-964	0.7525	516
5	-246 N	-0.3706	Reilly	rabbit	-0.9171	1591	0.273	1440	0.947	542
2	722 N	0.5174	Sam	hamster	1.1475	1024	0.9615	55	1.0867	1000
5	-1653 N	0.8816	Reilly	pig	-0.7077	3684	0.9682	1760	0.8897	676
2	1664 N	0.7218	Michael	pig	1.8244	861	-0.1375	-685	-0.5065	1170
4	682 N	1.1786	Eriq	guinea pig	0.761	510	-0.0457	318	1.5052	528
1	-52 N	1.1569	Andrew	ferret	0.0516	-302	1.4223	241	0.471	-1552
1	-355 N	1.204	Andrew	ferret	0.1523	473	0.8531	1506	2.3158	719
1	-182 N	-0.9282	Andrew	ferret	0.1442	673	0.0665	1465	-0.0758	-1334
0	1065 N	-0.5596	Fabrice	guinea pig	2.0414	153	0.9686	553	1.5746	344
5	33 N	0.2525	Reilly	rabbit	-0.5461	741	-0.0345	1801	0.7462	429
3	583 N	-1.0775	Inan	reptile	0.9351	1506	-0.3153	558	-0.036	966
1	295 N	1.6142	Andrew	ferret	0.2257	660	1.8807	479	0.5025	-1363
3	-1171 N	-0.3308	Inan	reptile	0.2596	958	-0.9818	439	-0.4372	-738
1	234 N	1.0526	Chris	bird	1.6353	1356	-0.2982	679	1.0032	-740
5	-587 N	-0.2715	Reilly	fish, cat, rat	1.5104	1716	1.8044	1061	0.9435	108
5	725 N	-0.3828	REILLY	pig	0.64	1233	0.5307	-1233	1.4195	-33
0	1744 N	0.584	Chris	guinea pig	0.0786	1174	-0.5646	1710	0.6898	-1657
1	-569 N	1.2295	Andrew	ferret	1.4372	1829	0.446	1457	0.7342	562
0	554 N	0.479	Fabrice	guinea pig	2.1183	2394	-0.4514	1165	-0.1784	398
4	84 N	-0.4012	Eriq	dog	-0.0197	322	1.9738	86	1.0206	1061
4	1307 N	1.5894	Tony	fish	0.596	2415	1.6497	-776	0.7018	-534
4	398 N	1.1174	Tony	fish	-0.2514	-172	0.5818	-446	2.1128	-502
4	2529 N	1.8428	Tony	fish, rat	-0.1273	387	-0.1047	-856	0.3171	-171
0	913 N	0.5195	Fabrice	cat, chicken, fish	-0.0048	1823	1.4601	777	-1.001	-1947
4	277 N	1.4081	Eriq	fish, cat	1.1356	-703	0.562	-174	1.603	-914
4	467 N	1.1499	Tony	chicken	-0.9606	968	1.7561	782		551
1	51 N	1.2994	Andrew	ferret	1.0953	901	0.0794	-79	1.2282	-803
2	390 N	0.9892	Michael	hamster	-0.0079	130	-0.6017	109	0.2409	247
2	1530 N	0.1862	Michael	rabbit	1.3469	40	-0.1911	6	1.189	-788
3	-1567 N	N/A	Inan	dog	2.461	1820	-0.3268	108	0.4083	53
5	398 N	0.4922	Reilly	pig	1.124	1635	0.6419	-35	1.6356	178
2	992 N	0.5927	Michael	hamster	1.3975	1345	-2.0682	942	0.4146	-1971
0	-146 N	0.5181	Chris	guinea pig	0.7294	832	0.3746	1758	1.2253	-758
1	965 N	0.0027	Andrew	bird	-0.8336	1819	0.418	713	0.4793	-81
0	449 N	-0.2719	Chris	guinea pig	2.8531	-539	-0.0523	796	1.4269	40
5	-668 N	0.7142	Reilly	rabbit	0.2407	382	1.0713	1348	0.853	-2014
4	1186 N	2.8923	Eriq	cat	0.9343	786	0.5424	158	-0.0167	236
0	942 N	0.3925	Fabrice	guinea pig	-0.189	-36	0.9758	1233	0.3942	-372
2	830 N	0.317	Andrew	hamster	0.8054	931	-0.2379	269	0.0757	-272
3	233 N	-0.1327	Inan	reptile	-0.3776	1109	0.388	-852	1.2405	-1290
1	-174 N	0.8118	Andrew		-0.157	49	0.7732	1045	1.0315	-228
2	830 N	0.1151	Michael	n/a	-0.154	851	0.4815	-19	-1.3941	1899
3	-800 N	0.066	Inan	dog	0.9947	1235	0.3809	1681	-0.303	-854
4	2016 N	0.7587	Tony	chicken	-0.921	-266	1.3462	-144	0.9097	112
5	723 N	0.6065	Reilly	pig	0.7036	2278	-0.0851	-625	0.7799	None
3	-461 N	-0.5651	Inan	dog	2.0965	714	0.103	700	0.6985	-319
1	898 N	0.3844	Andrew	bird	2.4266	1373	-0.4381	1569	0.0126	-1092
3	84 N	-0.4084	Inan	dog	2.4185	-208	0.7686	646	0.4388	110
2	196 N	0.3355	Sam	hamster	1.379	1293	1.1242	-314	0.6287	67
2	470 N	-0.2321	Michael	hamster	0.0763	1335	-1.1302	-64	-1.1219	1217
3	146 N	-0.1257	Inan	reptile	-0.0527	1108	0.2567	348	0.1018	6
5	-173 N	1.5469	Reilly	rabbit	0.3249	1120	0.7236	634	-0.1502	48
0	436 N	0.0092	Chris	guinea pig	0.629	1191	-0.0281	1079	0.1326	-1222
1	-589 N	0.9944	Andrew	reptile	0.804	480	-0.2268	1210	1.3614	0
0	780 N	-0.9942	Fabrice	guinea pig	2.0147	1327	-0.1683	-1039	-0.1997	28
0	2268 N	0.0279	Chris	guinea pig	2.2762	1196	0.4131	-339	-0.0372	-735
5	490 N	0.4728	Reilly	pig	-1.0682	1053	1.6817	429	0.2871	n/a
0	910 N	0.6361	Fabrice	guinea pig	1.0935	2734	-0.0142	676	0.5249	-365
1	602 N	0.0633	Andrew	rat	1.1421	664	1.0078	1442	1.4567	1743
0	677 N	0.2415	Vani	cat, chicken, rat	1.0514	897	0.962	1486	-0.399	399
0	556 N	0.5052	Vani	ferret	-0.081	1345	-0.421	1992	0.0055	-445
2	383 N	0.9311	Michael	hamster	0.8303	1943	-0.0078	810	0.4753	897
0	1324 N	-0.4777	Chris	guinea pig	0.3327	1390	0.6053	1245	-1.3547	630
4	1113 N	0.8196	Tony	rat, fish	-0.0129	-588	2.2684	-628	0.8187	-529
0	1328 N	1.4116	Chris	guinea pig	-0.1449	420	-0.1089	652	0.3258	592
3	-1411 N	0.5401	Inan	reptile	0.515	538	-0.8274	1316	0.4597	-581
3	475 N	0.5046	Inan	dog	1.2257	800	0.3497	146	0.5115	-2161
0	850 N	0.1436	Sam	hamster	1.5014	158	0.8956	697	0.3711	-190
1	6 N	-0.4827	Andrew	pig	-0.0513	2408	-0.3926	245	0.1242	949
5	-1177 N	-0.3793	Reilly	rabbit	0.7737	99	0.6004	1596	2.0058	-1224
3	-940 N	0.1596	Inan	dog	0.0804	1136	-0.6867	1305	-1.1037	-273
3	1091 N	0.4931	Inan	reptile	1.2483	1360	-0.3439	1070	0.839	155
2	1394 N	0.5363	Michael	hamster	1.2647	1171	0.0174	392	0.1956	1222
0	1700 N	0.0221	Fabrice	guinea pig	0.7927	2245	0.7935	-276	-0.1956	731
4	2059 N	1.7764	Tony	chicken, fish	0.5898	-288	0.3061	753	0.8879	-548
3	-367 N	-0.0529	Inan	fish	0.4153	232	-1.2187	1083	1.0161	576
1	1281 N	0.44	Andrew	ferret	0.37	809	1.7331	-570	0.3997	-1325
4	322 N	-1.4471	Tony	fish	-0.5341	-259	0.8753	-860	-1.0599	885
4	561 N	0.1389	Eriq	fish, rat, chicken	0.8078	-574	2.0136	-566	1.6386	-796
5	-1160 N	0.2481	Sam	rabbit	-1.1883	989	0.1647	1053	1.0482	292
3	-414 N	1.0846	Inan	dog	0.898	99	NULL	997	0.5171	-4
5	28 N	1.531	Reilly	rabbit	-1.2043	794	2.2266	474	1.263	1385
5	-257 N	0.2685	Reilly	rabbit	-0.5088	1610	1.5408	-3	0.0076	-476
1	-314 N	0.6578	Andrew	ferret	2.9186	200	-0.1119	1113	-0.2596	-146
2	939 N	0.8256	Michael	rabbit	2.1612	278	-0.5042	293	0.5675	609
0	66 N	-0.1249	Tony	reptile	1.9499	1797	0.0806	237	-0.2406	1168
0	1460 N	0.4117	Chris	guinea pig	0.8106	589	0.4661	642	-0.2744	662
2	1548 N	0.1916	Michael	hamster	0.8446	896	1.3377	707	-0.8232	-794
0	13 N	2.1038	Vani	guinea pig	2.051	-96	-1.0169	2391	2.0055	-980
4	1901 N	0.0406	Eriq	cat, rat	0.4385	1350	1.7668	714	0.9068	-526
1	-542 N	-0.5581	Andrew	ferret	N/A	56	0.3904	570	1.2269	-578
5	250 N	0.347	Reilly	guinea pig	0.832	1376	0.5153	393	0.6262	1327
3	248 N	0.9847	Inan	dog	0.0898	136	0.1778	248	-0.4307	228
4	471 N	0.5643	Lise	guinea pig	0.5487	945	0.9794	-306	0.28	-386
0	774 N	-0.0009	Fabrice	guinea pig	1.0369	1717	-0.0664	319	-0.9545	-381
0	1407 N	0.535	Fabrice	guinea pig	-0.4291	883	1.6564	-894	0.6966	-916
4	1371 N	-0.0127	Lise	fish, chicken, cat	1.6435	-9	1.5711	34	0.9778	917
4	1428 N	-0.0851	Eriq	chicken, cat, rat	1.0201	442	1.2922	196	0.5859	854
2	-148 N	0.8442	Michael	hamster	0.1732	919	0.9037	-655	-0.623	1803
5	13 N	1.2576	Reilly	?	1.3793	1777	1.1583	1068	0.7071	221
3	95 N	0.1235	INAN	dog	1.263	982	0.7274	817	-0.2721	492
0	1020 N	0.6977	Fabrice	guinea pig	0.1666	2316	0.6724	-5	1.0427	-672
5	-385 N	0.0985	Reilly	rabbit	0.8214	529	2.051	1200	1.4572	688
2	1410 N	0.8662	Michael	hamster	1.714	217	-0.553	-1035	0.2222	764
4	1560 N	0.6697	Lise	Rat	0.9082	1306	1.4741	-1728	0.6384	140
0	766 N	0.6807	Chris	guinea pig	0.5259	2282	0.3861	714	-0.1859	987
0	568 N	0.5554	Chris	hamster	-0.4118	267	0.7087	930	-0.0264	51
2	542 N	1.5797	Michael	hamster	-0.5713	1531	-0.2852	-222	0.3553	-6
0	702 N	0.8916	Vani	guinea pig	2.05	1099	0.5873	317	0.6405	-1182
5	-168 N	0.5779	Reilly	rabbit	1.8903	1628	1.4317	1198	0.8117	758
2	1313 N	-0.0746	Sam	hamster	0.97	-1156	0.9719	209	0.4913	-158
0	-6 N	1.9158	Fabrice	guinea pig	1.2766	1485	-0.1308	2466	-1.0852	1245
5	699 N	-0.1689	Reilly	pig	2.1213	881	1.5316	534	1.0316	-1180
5	-870 N	0.0462	Reilly	pig	-0.7278	733	1.2764	1615	0.3669	-254
3	-89 N	0.7711	Inan	dog	0.5176	1887	0.2224	1697	0.1804	-383
2	1127 N	0.1373	Michael	hamster	1.497	-319	0.1519	393	-0.1814	-110
1	778 N	0.2794	Andrew	ferret	1.4051	743	-0.156	433	0.4379	-150
0	1534 N	0.2998	Chris	guinea pig	-0.3239	927	1.7458	-849	-0.4717	292
2	1684 N	1.9554	Sam	hamster	1.4717	551	0.6202	-1160	0.4929	216
4	1969 N	0.702	Eriq	cat, fish, rat	1.5286	223	1.788	541	0.8175	1283
3	-737 N	0.5057	Inan	dog	2.5539	784	0.3158	1070	0.6545	16
0	1594 N	0.3932	Reilly	guinea pig	0.3458	-277	0.5866	-672	0.076	-1221
0	799 N	1.6318	Chris	guinea pig	2.4516	704	0.2006	None	1.9686	
0	655 N	0.1433	Vani	guinea pig	0.0976	851	0.3732	31	1.063	455
1	75 N	-0.6267	Andrew	bird	0.4613	21	0.8195	1650	1.4578	-283
1	-184 N	1.4431	Andrew	bird	-0.3704	979	0.0023	1798	0.239	-355
4	1277 N	0.9307	Tony	chicken, cat	-0.1155	1672	0.0769	205	1.173	956
1	-367 N	0.8784	Sam	ferret	-0.1963	47	0.5869	543	1.3604	1531
0	2044 N	2.1329	Chris	guinea pig	1.0866	238	-0.7003	347	-0.3835	20
2	139 N	-0.6872	Michael	hamster	0.1035	510	-0.2316	-565	0.2687	-56
3	-1116 N	-1.609	Inan	reptile	0.7748	616	0.8793	1288	0.6776	-284
2	306 N	1.7062	Sam	hamster	0.7664	1176	-0.656	-1104	0.6297	-306
1	125 N	0.229	Andrew	ferret	1.0801	665	-0.5571	1331	2.2003	-974
1	508 N	0.1095	Andrew	ferret	0.9713	264	-0.3025	1536	0.7293	-173
0	2052 N	-0.5995	Chris	guinea pig	0.5901	603	-0.2269	425	-0.4584	-1843
2	1365 N	0.5226	Sam	hamster	1.0517	260	0.7631	350	?	0
0	1244 N	1.2776	Vani	guinea pig	2.1531	1511	0.0444	1424	0.3513	614
5	71 N	0.7041	Reilly	rabbit	0.563	1123	0.4553	440	1.9157	910
2	1925 N	0.2596	Reilly	reptile	0.1984	403	1.468	763	-0.1018	-1119
3	2 N	N/A	Inan	reptile	0.3771	99	1.5076	184	1.6986	-606
2	1146 N	0.8686	Sam	hamster	0.9867	1161	-0.0801	1043	-0.2109	929
1	1404 N	0.9383	Andrew	ferret	-0.6123	393	0.6098	1107	0.7461	-836
1	-516 N	0.3431	Andrew	bird	0.7001	1733	1.6295	142	-0.0983	-680
1	-367 N	1.3232	Andrew	ferret	-0.1565	328	0.2643	1219	0.1727	-1509
